UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1483233002,12/31/2016 12:00:00 AM,15:10:02,53,30.29,85,323.54,13.5,06:57:00,17:54:00
1483232702,12/31/2016 12:00:00 AM,15:05:02,52,30.28,87,326.32,11.25,06:57:00,17:54:00
1483232401,12/31/2016 12:00:00 AM,15:00:01,52,30.28,85,318.62,14.62,06:57:00,17:54:00
1483232101,12/31/2016 12:00:00 AM,14:55:01,52,30.28,83,332.39,12.37,06:57:00,17:54:00
1483231808,12/31/2016 12:00:00 AM,14:50:08,52,30.28,86,306.32,11.25,06:57:00,17:54:00
1483231501,12/31/2016 12:00:00 AM,14:45:01,52,30.28,86,316.74,15.75,06:57:00,17:54:00
1483231201,12/31/2016 12:00:00 AM,14:40:01,52,30.28,84,305.76,15.75,06:57:00,17:54:00
1483230904,12/31/2016 12:00:00 AM,14:35:04,52,30.28,85,327.51,15.75,06:57:00,17:54:00
1483230609,12/31/2016 12:00:00 AM,14:30:09,53,30.28,83,318.76,12.37,06:57:00,17:54:00
1483230301,12/31/2016 12:00:00 AM,14:25:01,53,30.29,82,327.17,15.75,06:57:00,17:54:00
1483230001,12/31/2016 12:00:00 AM,14:20:01,53,30.29,82,309.67,14.62,06:57:00,17:54:00
1483229702,12/31/2016 12:00:00 AM,14:15:02,53,30.29,81,332.56,13.5,06:57:00,17:54:00
1483229401,12/31/2016 12:00:00 AM,14:10:01,53,30.29,77,317.83,12.37,06:57:00,17:54:00
1483229102,12/31/2016 12:00:00 AM,14:05:02,53,30.29,78,301.89,12.37,06:57:00,17:54:00
1483228801,12/31/2016 12:00:00 AM,14:00:01,53,30.29,79,337.33,18,06:57:00,17:54:00
1483228501,12/31/2016 12:00:00 AM,13:55:01,53,30.29,77,336.87,14.62,06:57:00,17:54:00
1483228202,12/31/2016 12:00:00 AM,13:50:02,53,30.29,76,303.03,10.12,06:57:00,17:54:00
1483227902,12/31/2016 12:00:00 AM,13:45:02,53,30.29,75,345.68,9,06:57:00,17:54:00
1483227601,12/31/2016 12:00:00 AM,13:40:01,53,30.29,75,331.09,5.62,06:57:00,17:54:00
1483227304,12/31/2016 12:00:00 AM,13:35:04,53,30.3,75,308.94,14.62,06:57:00,17:54:00
1483227002,12/31/2016 12:00:00 AM,13:30:02,53,30.29,74,317.29,10.12,06:57:00,17:54:00
1483226702,12/31/2016 12:00:00 AM,13:25:02,53,30.3,75,335.7,6.75,06:57:00,17:54:00
1483226402,12/31/2016 12:00:00 AM,13:20:02,53,30.3,74,337.38,7.87,06:57:00,17:54:00
1483226101,12/31/2016 12:00:00 AM,13:15:01,53,30.3,74,328.55,6.75,06:57:00,17:54:00
1483225802,12/31/2016 12:00:00 AM,13:10:02,53,30.3,75,330.99,12.37,06:57:00,17:54:00
1483225502,12/31/2016 12:00:00 AM,13:05:02,53,30.3,74,350.1,11.25,06:57:00,17:54:00
1483225201,12/31/2016 12:00:00 AM,13:00:01,53,30.3,75,309.47,9,06:57:00,17:54:00
1483224901,12/31/2016 12:00:00 AM,12:55:01,53,30.31,74,315.23,13.5,06:57:00,17:54:00
1483224606,12/31/2016 12:00:00 AM,12:50:06,54,30.31,73,330.89,10.12,06:57:00,17:54:00
1483224302,12/31/2016 12:00:00 AM,12:45:02,53,30.31,73,333.86,11.25,06:57:00,17:54:00
1483224004,12/31/2016 12:00:00 AM,12:40:04,53,30.31,72,318.99,11.25,06:57:00,17:54:00
1483223701,12/31/2016 12:00:00 AM,12:35:01,53,30.31,70,310.27,12.37,06:57:00,17:54:00
1483223402,12/31/2016 12:00:00 AM,12:30:02,53,30.31,70,336.34,19.12,06:57:00,17:54:00
1483223101,12/31/2016 12:00:00 AM,12:25:01,53,30.31,69,326.63,10.12,06:57:00,17:54:00
1483222801,12/31/2016 12:00:00 AM,12:20:01,53,30.31,69,311.6,10.12,06:57:00,17:54:00
1483222502,12/31/2016 12:00:00 AM,12:15:02,53,30.32,68,326.66,16.87,06:57:00,17:54:00
1483222202,12/31/2016 12:00:00 AM,12:10:02,53,30.33,68,299.7,11.25,06:57:00,17:54:00
1483221902,12/31/2016 12:00:00 AM,12:05:02,53,30.33,68,321.95,10.12,06:57:00,17:54:00
1483221601,12/31/2016 12:00:00 AM,12:00:01,53,30.33,67,301.76,12.37,06:57:00,17:54:00
1483221302,12/31/2016 12:00:00 AM,11:55:02,53,30.32,67,318.75,16.87,06:57:00,17:54:00
1483221001,12/31/2016 12:00:00 AM,11:50:01,53,30.32,67,313.45,16.87,06:57:00,17:54:00
1483220701,12/31/2016 12:00:00 AM,11:45:01,52,30.33,68,343.71,16.87,06:57:00,17:54:00
1483220402,12/31/2016 12:00:00 AM,11:40:02,53,30.33,68,317.65,14.62,06:57:00,17:54:00
1483220102,12/31/2016 12:00:00 AM,11:35:02,52,30.33,68,308.04,11.25,06:57:00,17:54:00
1483219804,12/31/2016 12:00:00 AM,11:30:04,52,30.33,69,322.88,13.5,06:57:00,17:54:00
1483219502,12/31/2016 12:00:00 AM,11:25:02,52,30.33,71,314.86,11.25,06:57:00,17:54:00
1483219202,12/31/2016 12:00:00 AM,11:20:02,52,30.33,74,325.76,11.25,06:57:00,17:54:00
1483218902,12/31/2016 12:00:00 AM,11:15:02,52,30.33,74,309.71,15.75,06:57:00,17:54:00
1483218602,12/31/2016 12:00:00 AM,11:10:02,52,30.33,77,333.24,7.87,06:57:00,17:54:00
1483218302,12/31/2016 12:00:00 AM,11:05:02,51,30.34,77,322.53,9,06:57:00,17:54:00
1483218004,12/31/2016 12:00:00 AM,11:00:04,51,30.34,78,294.86,10.12,06:57:00,17:54:00
1483217701,12/31/2016 12:00:00 AM,10:55:01,51,30.34,79,305.93,11.25,06:57:00,17:54:00
1483217402,12/31/2016 12:00:00 AM,10:50:02,51,30.34,80,314.35,13.5,06:57:00,17:54:00
1483217103,12/31/2016 12:00:00 AM,10:45:03,51,30.34,80,331.54,7.87,06:57:00,17:54:00
1483216802,12/31/2016 12:00:00 AM,10:40:02,50,30.34,79,322.31,6.75,06:57:00,17:54:00
1483216505,12/31/2016 12:00:00 AM,10:35:05,50,30.34,81,329.19,9,06:57:00,17:54:00
1483216201,12/31/2016 12:00:00 AM,10:30:01,50,30.35,80,318.59,7.87,06:57:00,17:54:00
1483215902,12/31/2016 12:00:00 AM,10:25:02,50,30.35,81,320.1,11.25,06:57:00,17:54:00
1483215602,12/31/2016 12:00:00 AM,10:20:02,50,30.34,81,307.5,7.87,06:57:00,17:54:00
1483215302,12/31/2016 12:00:00 AM,10:15:02,50,30.35,82,299.08,11.25,06:57:00,17:54:00
1483215002,12/31/2016 12:00:00 AM,10:10:02,50,30.34,83,310.35,7.87,06:57:00,17:54:00
1483214701,12/31/2016 12:00:00 AM,10:05:01,49,30.35,83,295.19,11.25,06:57:00,17:54:00
1483214406,12/31/2016 12:00:00 AM,10:00:06,50,30.34,83,281.24,9,06:57:00,17:54:00
1483214102,12/31/2016 12:00:00 AM,09:55:02,49,30.34,83,280.87,11.25,06:57:00,17:54:00
1483213802,12/31/2016 12:00:00 AM,09:50:02,49,30.34,84,288.42,13.5,06:57:00,17:54:00
1483213501,12/31/2016 12:00:00 AM,09:45:01,50,30.34,84,293.26,12.37,06:57:00,17:54:00
1483213202,12/31/2016 12:00:00 AM,09:40:02,49,30.34,86,294.87,9,06:57:00,17:54:00
1483212902,12/31/2016 12:00:00 AM,09:35:02,49,30.34,87,287.03,11.25,06:57:00,17:54:00
1483212602,12/31/2016 12:00:00 AM,09:30:02,48,30.34,87,280.1,9,06:57:00,17:54:00
1483212301,12/31/2016 12:00:00 AM,09:25:01,48,30.34,88,312.09,10.12,06:57:00,17:54:00
1483212003,12/31/2016 12:00:00 AM,09:20:03,48,30.34,88,286.25,11.25,06:57:00,17:54:00
1483211702,12/31/2016 12:00:00 AM,09:15:02,48,30.33,86,299.83,9,06:57:00,17:54:00
1483211401,12/31/2016 12:00:00 AM,09:10:01,47,30.34,85,282.24,11.25,06:57:00,17:54:00
1483211104,12/31/2016 12:00:00 AM,09:05:04,47,30.33,84,247.5,6.75,06:57:00,17:54:00
1483210803,12/31/2016 12:00:00 AM,09:00:03,46,30.34,84,259.61,6.75,06:57:00,17:54:00
1483210510,12/31/2016 12:00:00 AM,08:55:10,46,30.34,84,274.2,7.87,06:57:00,17:54:00
1483210202,12/31/2016 12:00:00 AM,08:50:02,45,30.33,84,284.02,9,06:57:00,17:54:00
1483209902,12/31/2016 12:00:00 AM,08:45:02,45,30.33,84,292.08,6.75,06:57:00,17:54:00
1483209602,12/31/2016 12:00:00 AM,08:40:02,45,30.33,84,278.9,7.87,06:57:00,17:54:00
1483209301,12/31/2016 12:00:00 AM,08:35:01,45,30.33,84,276.46,6.75,06:57:00,17:54:00
1483209001,12/31/2016 12:00:00 AM,08:30:01,45,30.33,84,282.56,4.5,06:57:00,17:54:00
1483208702,12/31/2016 12:00:00 AM,08:25:02,45,30.32,83,279.15,5.62,06:57:00,17:54:00
1483208403,12/31/2016 12:00:00 AM,08:20:03,45,30.32,84,278.3,6.75,06:57:00,17:54:00
1483208104,12/31/2016 12:00:00 AM,08:15:04,44,30.32,86,274.08,10.12,06:57:00,17:54:00
1483207802,12/31/2016 12:00:00 AM,08:10:02,43,30.32,87,275.28,7.87,06:57:00,17:54:00
1483207503,12/31/2016 12:00:00 AM,08:05:03,43,30.31,86,262.75,9,06:57:00,17:54:00
1483207203,12/31/2016 12:00:00 AM,08:00:03,43,30.31,86,258.85,6.75,06:57:00,17:54:00
1483206901,12/31/2016 12:00:00 AM,07:55:01,43,30.31,86,262.51,5.62,06:57:00,17:54:00
1483206602,12/31/2016 12:00:00 AM,07:50:02,42,30.31,85,265.53,7.87,06:57:00,17:54:00
1483206302,12/31/2016 12:00:00 AM,07:45:02,42,30.31,84,240.48,4.5,06:57:00,17:54:00
1483206001,12/31/2016 12:00:00 AM,07:40:01,43,30.31,83,245.51,5.62,06:57:00,17:54:00
1483205701,12/31/2016 12:00:00 AM,07:35:01,43,30.3,81,255.93,5.62,06:57:00,17:54:00
1483205406,12/31/2016 12:00:00 AM,07:30:06,43,30.3,80,279.69,6.75,06:57:00,17:54:00
1483205102,12/31/2016 12:00:00 AM,07:25:02,43,30.3,80,270.17,6.75,06:57:00,17:54:00
1483204801,12/31/2016 12:00:00 AM,07:20:01,43,30.3,79,265.53,6.75,06:57:00,17:54:00
1483204501,12/31/2016 12:00:00 AM,07:15:01,42,30.3,78,276.02,7.87,06:57:00,17:54:00
1483204201,12/31/2016 12:00:00 AM,07:10:01,42,30.3,79,265.73,5.62,06:57:00,17:54:00
1483203902,12/31/2016 12:00:00 AM,07:05:02,41,30.3,80,247.22,3.37,06:57:00,17:54:00
1483203602,12/31/2016 12:00:00 AM,07:00:02,42,30.31,80,219.97,5.62,06:57:00,17:54:00
1483203302,12/31/2016 12:00:00 AM,06:55:02,42,30.3,79,237.41,4.5,06:57:00,17:54:00
1483203001,12/31/2016 12:00:00 AM,06:50:01,42,30.3,78,223.93,3.37,06:57:00,17:54:00
1483202701,12/31/2016 12:00:00 AM,06:45:01,42,30.3,79,222.51,6.75,06:57:00,17:54:00
1483202401,12/31/2016 12:00:00 AM,06:40:01,42,30.29,78,214.83,4.5,06:57:00,17:54:00
1483202104,12/31/2016 12:00:00 AM,06:35:04,42,30.29,78,215.75,6.75,06:57:00,17:54:00
1483201802,12/31/2016 12:00:00 AM,06:30:02,43,30.29,78,215.86,5.62,06:57:00,17:54:00
1483201505,12/31/2016 12:00:00 AM,06:25:05,43,30.29,77,226.91,4.5,06:57:00,17:54:00
1483201202,12/31/2016 12:00:00 AM,06:20:02,43,30.29,77,217.34,4.5,06:57:00,17:54:00
1483200901,12/31/2016 12:00:00 AM,06:15:01,43,30.29,77,222.55,7.87,06:57:00,17:54:00
1483200601,12/31/2016 12:00:00 AM,06:10:01,43,30.29,77,216.03,7.87,06:57:00,17:54:00
1483200301,12/31/2016 12:00:00 AM,06:05:01,44,30.29,77,222.04,7.87,06:57:00,17:54:00
1483200003,12/31/2016 12:00:00 AM,06:00:03,44,30.29,77,222.33,3.37,06:57:00,17:54:00
1483199702,12/31/2016 12:00:00 AM,05:55:02,45,30.29,75,259.37,5.62,06:57:00,17:54:00
1483199401,12/31/2016 12:00:00 AM,05:50:01,44,30.29,77,252.46,3.37,06:57:00,17:54:00
1483199102,12/31/2016 12:00:00 AM,05:45:02,43,30.29,79,278.56,7.87,06:57:00,17:54:00
1483198805,12/31/2016 12:00:00 AM,05:40:05,43,30.29,79,179.14,2.25,06:57:00,17:54:00
1483198504,12/31/2016 12:00:00 AM,05:35:04,43,30.28,79,179.2,0,06:57:00,17:54:00
1483198204,12/31/2016 12:00:00 AM,05:30:04,43,30.29,82,193.12,0,06:57:00,17:54:00
1483197906,12/31/2016 12:00:00 AM,05:25:06,43,30.28,80,222.5,1.12,06:57:00,17:54:00
1483197602,12/31/2016 12:00:00 AM,05:20:02,43,30.29,79,253.66,2.25,06:57:00,17:54:00
1483197301,12/31/2016 12:00:00 AM,05:15:01,42,30.29,76,256.76,6.75,06:57:00,17:54:00
1483197001,12/31/2016 12:00:00 AM,05:10:01,42,30.29,81,210.47,4.5,06:57:00,17:54:00
1483196705,12/31/2016 12:00:00 AM,05:05:05,42,30.28,84,206.22,5.62,06:57:00,17:54:00
1483196403,12/31/2016 12:00:00 AM,05:00:03,42,30.28,84,224.43,5.62,06:57:00,17:54:00
1483196101,12/31/2016 12:00:00 AM,04:55:01,43,30.28,83,236.37,5.62,06:57:00,17:54:00
1483195802,12/31/2016 12:00:00 AM,04:50:02,43,30.28,82,244.73,5.62,06:57:00,17:54:00
1483195504,12/31/2016 12:00:00 AM,04:45:04,43,30.28,83,255.42,6.75,06:57:00,17:54:00
1483195201,12/31/2016 12:00:00 AM,04:40:01,42,30.28,84,245.18,6.75,06:57:00,17:54:00
1483194901,12/31/2016 12:00:00 AM,04:35:01,42,30.28,86,232.43,3.37,06:57:00,17:54:00
1483194602,12/31/2016 12:00:00 AM,04:30:02,42,30.28,87,218.3,2.25,06:57:00,17:54:00
1483194301,12/31/2016 12:00:00 AM,04:25:01,41,30.28,87,212.26,3.37,06:57:00,17:54:00
1483194001,12/31/2016 12:00:00 AM,04:20:01,41,30.28,88,211.22,1.12,06:57:00,17:54:00
1483193702,12/31/2016 12:00:00 AM,04:15:02,41,30.28,88,211.19,3.37,06:57:00,17:54:00
1483193404,12/31/2016 12:00:00 AM,04:10:04,41,30.29,87,211.1,4.5,06:57:00,17:54:00
1483193113,12/31/2016 12:00:00 AM,04:05:13,42,30.28,87,210.31,5.62,06:57:00,17:54:00
1483192801,12/31/2016 12:00:00 AM,04:00:01,42,30.28,86,203.45,3.37,06:57:00,17:54:00
1483192501,12/31/2016 12:00:00 AM,03:55:01,42,30.28,85,203.45,3.37,06:57:00,17:54:00
1483192201,12/31/2016 12:00:00 AM,03:50:01,43,30.28,85,203.08,2.25,06:57:00,17:54:00
1483191903,12/31/2016 12:00:00 AM,03:45:03,43,30.28,84,203.06,1.12,06:57:00,17:54:00
1483191602,12/31/2016 12:00:00 AM,03:40:02,42,30.29,85,202.53,1.12,06:57:00,17:54:00
1483191301,12/31/2016 12:00:00 AM,03:35:01,42,30.28,87,202.55,1.12,06:57:00,17:54:00
1483191005,12/31/2016 12:00:00 AM,03:30:05,42,30.28,88,202.44,5.62,06:57:00,17:54:00
1483190702,12/31/2016 12:00:00 AM,03:25:02,42,30.28,89,201.4,7.87,06:57:00,17:54:00
1483190402,12/31/2016 12:00:00 AM,03:20:02,41,30.29,89,201.38,6.75,06:57:00,17:54:00
1483190102,12/31/2016 12:00:00 AM,03:15:02,41,30.29,90,204.42,7.87,06:57:00,17:54:00
1483189801,12/31/2016 12:00:00 AM,03:10:01,41,30.29,90,198.43,5.62,06:57:00,17:54:00
1483189502,12/31/2016 12:00:00 AM,03:05:02,41,30.29,90,197.68,4.5,06:57:00,17:54:00
1483189202,12/31/2016 12:00:00 AM,03:00:02,41,30.29,90,197.35,3.37,06:57:00,17:54:00
1483188902,12/31/2016 12:00:00 AM,02:55:02,41,30.29,90,194.31,5.62,06:57:00,17:54:00
